"";"Subject";"CellType";"PredictionType";"Day";"Accuracy"
"1";"AK42_CA1";"FI Cells";"Context Prediction";"Day 1";0,555555556
"2";"AK74_CA1";"FI Cells";"Context Prediction";"Day 1";0,6
"3";"CMG159_recut";"FI Cells";"Context Prediction";"Day 1";0,5
"4";"HGY1_recut";"FI Cells";"Context Prediction";"Day 1";0,428571429
"5";"JJ9_CA1";"FI Cells";"Context Prediction";"Day 1";0,6
"6";"K1_CA1";"FI Cells";"Context Prediction";"Day 1";0,75
"7";"MG1";"FI Cells";"Context Prediction";"Day 1";0,555555556
"8";"AK42_CA1";"FI Cells";"Context Prediction";"Day 2";0,571428571
"9";"AK74_CA1";"FI Cells";"Context Prediction";"Day 2";0,714285714
"10";"CMG159_recut";"FI Cells";"Context Prediction";"Day 2";0,875
"11";"HGY1_recut";"FI Cells";"Context Prediction";"Day 2";NA
"12";"JJ9_CA1";"FI Cells";"Context Prediction";"Day 2";0,625
"13";"K1_CA1";"FI Cells";"Context Prediction";"Day 2";0,5
"14";"MG1";"FI Cells";"Context Prediction";"Day 2";0,545454545
"15";"AK42_CA1";"FI Cells";"Context Prediction";"Day 3";0,75
"16";"AK74_CA1";"FI Cells";"Context Prediction";"Day 3";0,75
"17";"CMG159_recut";"FI Cells";"Context Prediction";"Day 3";0,875
"18";"HGY1_recut";"FI Cells";"Context Prediction";"Day 3";NA
"19";"JJ9_CA1";"FI Cells";"Context Prediction";"Day 3";0,909090909
"20";"K1_CA1";"FI Cells";"Context Prediction";"Day 3";0,625
"21";"MG1";"FI Cells";"Context Prediction";"Day 3";0,636363636
"22";"AK42_CA1";"FS Cells";"Context Prediction";"Day 1";NA
"23";"AK74_CA1";"FS Cells";"Context Prediction";"Day 1";0,6
"24";"CMG159_recut";"FS Cells";"Context Prediction";"Day 1";0,666666667
"25";"HGY1_recut";"FS Cells";"Context Prediction";"Day 1";0,571428571
"26";"JJ9_CA1";"FS Cells";"Context Prediction";"Day 1";NA
"27";"K1_CA1";"FS Cells";"Context Prediction";"Day 1";NA
"28";"MG1";"FS Cells";"Context Prediction";"Day 1";0,555555556
"29";"AK42_CA1";"FS Cells";"Context Prediction";"Day 2";NA
"30";"AK74_CA1";"FS Cells";"Context Prediction";"Day 2";0,625
"31";"CMG159_recut";"FS Cells";"Context Prediction";"Day 2";1
"32";"HGY1_recut";"FS Cells";"Context Prediction";"Day 2";NA
"33";"JJ9_CA1";"FS Cells";"Context Prediction";"Day 2";NA
"34";"K1_CA1";"FS Cells";"Context Prediction";"Day 2";NA
"35";"MG1";"FS Cells";"Context Prediction";"Day 2";0,6
"36";"AK42_CA1";"FS Cells";"Context Prediction";"Day 3";NA
"37";"AK74_CA1";"FS Cells";"Context Prediction";"Day 3";NA
"38";"CMG159_recut";"FS Cells";"Context Prediction";"Day 3";0,875
"39";"HGY1_recut";"FS Cells";"Context Prediction";"Day 3";NA
"40";"JJ9_CA1";"FS Cells";"Context Prediction";"Day 3";0,454545455
"41";"K1_CA1";"FS Cells";"Context Prediction";"Day 3";NA
"42";"MG1";"FS Cells";"Context Prediction";"Day 3";0,6
"43";"AK42_CA1";"FI Cells";"Heading Prediction";"Day 1";0,555555556
"44";"AK74_CA1";"FI Cells";"Heading Prediction";"Day 1";0,3
"45";"CMG159_recut";"FI Cells";"Heading Prediction";"Day 1";0,666666667
"46";"HGY1_recut";"FI Cells";"Heading Prediction";"Day 1";0,714285714
"47";"JJ9_CA1";"FI Cells";"Heading Prediction";"Day 1";0,6
"48";"K1_CA1";"FI Cells";"Heading Prediction";"Day 1";0,75
"49";"MG1";"FI Cells";"Heading Prediction";"Day 1";0,666666667
"50";"AK42_CA1";"FI Cells";"Heading Prediction";"Day 2";0,714285714
"51";"AK74_CA1";"FI Cells";"Heading Prediction";"Day 2";0,714285714
"52";"CMG159_recut";"FI Cells";"Heading Prediction";"Day 2";0,75
"53";"HGY1_recut";"FI Cells";"Heading Prediction";"Day 2";NA
"54";"JJ9_CA1";"FI Cells";"Heading Prediction";"Day 2";1
"55";"K1_CA1";"FI Cells";"Heading Prediction";"Day 2";0,6
"56";"MG1";"FI Cells";"Heading Prediction";"Day 2";0,636363636
"57";"AK42_CA1";"FI Cells";"Heading Prediction";"Day 3";0,625
"58";"AK74_CA1";"FI Cells";"Heading Prediction";"Day 3";0,625
"59";"CMG159_recut";"FI Cells";"Heading Prediction";"Day 3";0,5
"60";"HGY1_recut";"FI Cells";"Heading Prediction";"Day 3";NA
"61";"JJ9_CA1";"FI Cells";"Heading Prediction";"Day 3";0,727272727
"62";"K1_CA1";"FI Cells";"Heading Prediction";"Day 3";0,875
"63";"MG1";"FI Cells";"Heading Prediction";"Day 3";0,636363636
"64";"AK42_CA1";"FS Cells";"Heading Prediction";"Day 1";NA
"65";"AK74_CA1";"FS Cells";"Heading Prediction";"Day 1";0,5
"66";"CMG159_recut";"FS Cells";"Heading Prediction";"Day 1";0,666666667
"67";"HGY1_recut";"FS Cells";"Heading Prediction";"Day 1";0,714285714
"68";"JJ9_CA1";"FS Cells";"Heading Prediction";"Day 1";NA
"69";"K1_CA1";"FS Cells";"Heading Prediction";"Day 1";NA
"70";"MG1";"FS Cells";"Heading Prediction";"Day 1";0,666666667
"71";"AK42_CA1";"FS Cells";"Heading Prediction";"Day 2";NA
"72";"AK74_CA1";"FS Cells";"Heading Prediction";"Day 2";0,75
"73";"CMG159_recut";"FS Cells";"Heading Prediction";"Day 2";0,75
"74";"HGY1_recut";"FS Cells";"Heading Prediction";"Day 2";NA
"75";"JJ9_CA1";"FS Cells";"Heading Prediction";"Day 2";NA
"76";"K1_CA1";"FS Cells";"Heading Prediction";"Day 2";NA
"77";"MG1";"FS Cells";"Heading Prediction";"Day 2";0,7
"78";"AK42_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"79";"AK74_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"80";"CMG159_recut";"FS Cells";"Heading Prediction";"Day 3";0,625
"81";"HGY1_recut";"FS Cells";"Heading Prediction";"Day 3";NA
"82";"JJ9_CA1";"FS Cells";"Heading Prediction";"Day 3";0,727272727
"83";"K1_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"84";"MG1";"FS Cells";"Heading Prediction";"Day 3";0,6
